"Additional attribute","Attributs supplémentaire"
"Change this parameter only if you have specific device size multi store website","Changer ce paramètres uniquement sur le vue boutique dédiée à un type d'appareil"
"Construct your product name's template with other product attribute. eg. <strong>{name} from {manufacturer}</strong>.","Construisez le modèle de nom produit à inclure dans le flux à partir d'atures attributs. ex: <strong>{name} de {manufacturer}</strong>."
"Criteo Tags and Feed","Criteo Tags et Flux"
"Cron needs to be set up for the feed to be automaticaly generated","Les taches Cron nécessitent d'être paramètrées afin que le flux soit généré automatiquement."
"Generate an XML file available at this url : <strong>http://{{your-domain}}/media/export-criteo.xml</strong>","Génére automatiquement un flux XML disponible à l'url suivante : <strong>http://{{votre-domaine}}/media/export-criteo.xml</strong>"
"Manually Export default store products","Export manuel des produits du store par default"
"Please save configuration before running the export manually","Veuillez sauvegarder la configuration avant de lancer l'export manuellement"
"Please select the product attribute to be included in the feed as description","Sélectionner l'attribut à inclure dans le flux à la place du champ description"
"Product Name's Template","Modèle de nom produit"
"Run Export Manually","Lancer l'export manuellement"
"XML Feed Configuration","Configuration du Flux"
"Product type passed in sales and basket tags","Type de produit passé dans les tags panier et vente"
"Choose product type included in sales and basket tags for Configurable, Grouped and Bundle products","Choisir le type de produit à inclure dans les tags panier et vente pour les  produits configurable, groupé ou pack"
"Child","Enfant"
"Parent","Parent"
"Child & Parent","Enfant et Parent"
"Open each image to check if exists","Ouvrir automatiquement chaque image pour verifier qu'elle existe"
"Product Visibility exported in the feed","Visibilité des produits exportés dans le flux"
"Choose product visibility to be included in the feed","Choisir le type de produit à inclure dans le flux"
